ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,FC,C,Name / Phys. Range,Function / Increment Unit,Value,frame.,signal.
 50h,GW_50,500,Cyclic,,1,0,SRS_CrashOutputStatus,,4,0, ,m,u,r,,0..15,,"0: No Crash, 1: crash , 2: Not Used",,
 50h,GW_50,500,Cyclic,,1,0,SRS_CrashOutputStatus,,4,0, ,m,u,r,,0..15,,"0: No Crash, 1: crash , 2: Not Used",,
 50h,GW_50,500,Cyclic,,1,0,SRS_CrashOutputStatus,,4,0, ,m,u,r,,0..15,,"0: No Crash, 1: crash , 2: Not Used",,
 50h,GW_50,500,Cyclic,,1,4,SRS_CrashOutputStatusCheckSum,,4,0, ,m,u,r,,0..15,,0: (SRS_CrashOutputStatus) XOR 0xF,,
 50h,GW_50,500,Cyclic,,2,0,SRS_DriverBuckleSwitchStatus,ACM½ÓÊÕÎªAT×¨ÓÃ ,2,0, ,m,u,r,,0..3,,,,
 50h,GW_50,500,Cyclic,,2,6,SRS_WarningLampStatus,,2,0, ,m,u,r,,0..3,,"0: Lamp off, 1: Lamp on, 2: Lamp Flashing, 3: Not Used",,
 50h,GW_50,500,Cyclic,,2,6,SRS_WarningLampStatus,,2,0, ,m,u,r,,0..3,,"0: Lamp off, 1: Lamp on, 2: Lamp Flashing, 3: Not Used",,
 50h,GW_50,500,Cyclic,,2,6,SRS_WarningLampStatus,,2,0, ,m,u,r,,0..3,,"0: Lamp off, 1: Lamp on, 2: Lamp Flashing, 3: Not Used",,
 50h,GW_50,500,Cyclic,,2,6,SRS_WarningLampStatus,,2,0, ,m,u,r,,0..3,,"0: Lamp off, 1: Lamp on, 2: Lamp Flashing, 3: Not Used",,
 50h,GW_50,500,Cyclic,,4,4,SRS_RollingCounter_id050,ACM½ÓÊÕÎªAT×¨ÓÃ ,4,0, ,m,u,r,,0..15,,,,
 50h,GW_50,500,Cyclic,,8,0,SRS_CRCCheck_50,,8,0, ,m,u,r,,0..255,,0: 0xFF£¬XOR value=0xFF£¬input data reflected=No£¬Result data reflected=No£¬check=0x48£¬Magic check=0xC4£©,,
170h,GW_170,10,Cyclic,,2,7,EPS_MaxSafetyTorsionBarTorq,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,11,0.00, ,m,u,r,,-20.48..20.44,0.02  Nm,2047: ,,
170h,GW_170,10,Cyclic,,4,2,EPS_MinSafetyTorsionBarTorq,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,11,0.00, ,m,u,r,,-20.48..20.44,0.02  Nm,2047: ,,
170h,GW_170,10,Cyclic,,5,5,EPS_ActualTorsionBarTorq,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,11,0.00, ,m,u,r,,-20.48..20.44,0.02  Nm,2047: ,,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,0,EPS_fault_state, ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Thermal Protection Fault , 2: Power Limit Fault   , 3: IMC Result error, 4: Torque Sensor Fault(recoverable with assist), 5: Angle Sensor Fault(recoverable with assist), 6: Sensorless Angle Fault(Non recoverable without assist), 7: Power Supply Fault(Non recoverable), 8: Motor Sensor Fault(Non recoverable), 9: Flash/RAM/NVM Fault(Non recoverable), 10: Battery Voltage Fault(Recoverable), 11: ECU ID Fault(Non recoverable), 12: Other Fault(Non recoverable)",,
170h,GW_170,10,Cyclic,,7,4,EPS_RollingCounter_170,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,,,
170h,GW_170,10,Cyclic,,8,0,EPS_CRCCheck_170,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,8,0, ,m,u,r,,0..255,,,,
17Eh,GW_17E,10,Cyclic,,1,0,EPS_MeasuredTorsionBarTorque,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,12,0.00, ,m,u,r,,-20.48..20.46,0.01  Nm,2048: ,,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
17Eh,GW_17E,10,Cyclic,,2,4,EPS_ADS_Abortfeedback,Æ½Ì¨Îª10ms£¬CD569ÌØÀýÎª8ms ,4,0, ,m,u,r,,0..15,,"0: No Fault, 1: Adas Speed Invalid, 2: Adas Signal Invalid , 3: State Mismatch, 4: APA Interrupt, 5: BUS Off, 6: Both Channels CAN down, 7: Adas Chassis CAN Down , 8: ADAS Internal Error, 9: Speed out of range, 10: AgAmpErr, 11: AgGrdtFlt, 12: Driver Interrupt, 13: ADAS Req Mode Invld",,
